URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews,profit_margin,Reviews,Solving need,Recurring,price_range,Competition,packaging_size,Seasonal,customer_pricing,Cross Selling,Fragile,Inventory time
https://amazon.in/dp/B09NVXJ4KW,B09NVXJ4KW,"Boniry Baby Nail Trimmer,Baby Nail Clippers Safe for Newborn Toddler Adult Toes Fingernails Care Trim Kit 6 Grinding Heads,Baby Grooming kit for Baby Care kit for New Born, (N-T Pink),Pack of 1",Boniry,FBA,Baby,1119,Nail Care,315.0,11.0,109,-14.0,32591.0,467,3.6,Boniry Store,1,1768.0,,Standard Size,1.54,3.5,6.18,0.18,,,11/01/2022,31,9,11,0.23,299.0,473.9130434782609,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B098MMFX8Z,B098MMFX8Z,"Mi Arcus Feeding, Drool Bibs for Baby Boys, Girls, Newborns, and Toddlers,0-3 Months,Cotton,Gifting/Pack of 5/Adjustable",Mi Arcus,FBA,Baby,854,Feeding Bibs,440.0,2.0,105,16.0,54390.0,212,4.1,RK World Infocom Pvt Ltd,3,1649.0,191.0,Standard Size,1.14,7.6,8.5,0.29,,,03/01/2024,34,9,6,0.5,518.0,210.0,True,True,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B09FDVKGHX,B09FDVKGHX,Wowper Baby Diapers | L | 30 counts | Wetness Indicator |Anti Rash |up to 12 hrs Absorption |9-14 Kg | Super Soft Diapers,Wowper,FBA,Baby,430,Taped Diapers,399.0,7.0,297,-9.0,118503.0,140,3.6,RK World Infocom Pvt Ltd,1,5558.0,-21.0,Standard Size,5.51,9.88,14.68,1.94,,,10/01/2022,29,5,46,2.12,399.0,140.0943396226415,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B09WDP98SV,B09WDP98SV,"HABER Traditional Baby Muslin Bath Towel Organic Indian Cotton 4 Layer, Eco-Conscious & Safe Printed Muslin Cloth Towels (30x30cm | Pack of 5, Print)",HABER,FBA,Baby,694,Bath Towels & Wash Cloths,399.0,,145,294.0,57855.0,164,4.2,Haber Living,1,953.0,5.0,Standard Size,1.85,4.84,4.88,0.24,,,07/01/2024,27,8,10,0.89,399.0,162.92134831460675,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0B9GK12P5,B0B9GK12P5,"VENUSIA Dr Reddy's Venusia Baby Intensive Moisturizing Cream for Dry and Ultra Dry Skin Contains Cocoa, Aloe, Mango & Shea Butters, 75g (Pack of 3)",VENUSIA,FBA,Baby,770,Lotions,681.0,-9.0,126,-8.0,88074.0,158,4.5,Buy  More,1,1474.0,,Standard Size,1.97,1.97,5.91,0.17,,,12/01/2022,23,2,8,0.81,699.0,155.55555555555554,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0C6XYSD36,B0C6XYSD36,Coo Coo Extra Dry Baby Pullup Diaper Pant Size Medium-M (48) Count Upto 7-12 kg Super Absorbent Core Up to 12 Hrs Protection Soft Elastic Waist & Leakage Prote,Coo Coo,FBA,Baby,293,Diaper Pants,358.0,3.0,255,0.0,94095.0,500,3.9,RK World Infocom Pvt Ltd,2,,,Standard Size,6.3,12.28,15.35,2.8,,,12/01/2023,-,6,16,0.52,369.0,490.38461538461536,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CQHQVBND,B0CQHQVBND,"GLOWSERIES Cute Seagull Night Lamp, Gifts for Women Teen Girls Baby,Night Lights for Kids Bedroom Kawaii Room Decor, Cute Christmas Duck Silicone Nightlights for Children Toddler.",GLOWSERIES,FBA,Baby,482,Baby Room Décor,949.0,,202,43.0,191698.0,145,4.5,AISHA IMPEX,1,,,Standard Size,3.62,3.86,5.28,0.42,,,07/01/2024,3,9,19,1.39,949.0,145.32374100719426,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CR7GCPL9,B0CR7GCPL9,"Nat Habit Baby Scalp Oil Bhrami Maytakshi (110ml)+ Baby Powder Shweet Chandan (100gm) - Essential Baby Care Combo For Daily Massage, Healthy Nourishment, Chemical & Preservative-Free (Combo Pack of 2)",Nat Habit,FBA,Baby,865,Gift Packs,502.0,-2.0,136,117.0,74120.0,344,4.5,RK World Infocom Pvt Ltd,1,,,Standard Size,4.72,1.97,9.84,0.66,,,03/01/2024,4,9,3,0.4,545.0,340.0,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CJVFTKLF,B0CJVFTKLF,Kuber Industries Bath Tub | Versatile Utility Gaint Tub | Plastic Bath Tub for Baby | Baby Bathing Tub | Clothes Washing Tub For Bathroom | Feeding Pan Tub | TUB-25 LTR | Beige,Kuber Industries,FBA,Baby,458,Bath Tubs,313.0,1.0,204,-16.0,63852.0,192,4.3,ETrade Online,1,,,Standard Size,9.49,17.8,17.83,1.32,,,03/01/2024,1,7,7,1.11,313.0,183.78378378378378,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CJRDNGCX,B0CJRDNGCX,"MCLEAR Acrylonitrile Butadiene Styrene Cabinet Door Locks For Baby Safety Proofing, Door Locks With Adhesive, Childproof Door Latch For Protecting Kids Toddler And Infant,Pack Of 20",MCLEAR,FBM,Baby,1976,Door & Window Guards,349.0,42.0,126,-42.0,100674.0,209,3.4,Reaching Heights,1,,,,,,,,,,02/01/2024,-,6,6,0.64,799.0,196.875,True,False,>500,Low,Small,False,Flexible,True,False,Less
